date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2023-07-03 00:00:00+00:00,9.44,9.7,9.23,9.51,195945,9.44,9.7,9.23,9.51,195945,0.0,1.0
2023-07-05 00:00:00+00:00,9.17,9.535,9.15,9.5,215455,9.17,9.535,9.15,9.5,215455,0.0,1.0
2023-07-06 00:00:00+00:00,9.01,9.18,8.925,9.02,191404,9.01,9.18,8.925,9.02,191404,0.0,1.0
2023-07-07 00:00:00+00:00,9.0,9.29,8.94,9.03,291326,9.0,9.29,8.94,9.03,291326,0.0,1.0
2023-07-10 00:00:00+00:00,9.18,9.2253,8.9926,9.0,148425,9.18,9.2253,8.9926,9.0,148425,0.0,1.0
2023-07-11 00:00:00+00:00,9.06,9.34,8.98,9.08,173802,9.06,9.34,8.98,9.08,173802,0.0,1.0
2023-07-12 00:00:00+00:00,9.13,9.48,9.08,9.1,225452,9.13,9.48,9.08,9.1,225452,0.0,1.0
2023-07-13 00:00:00+00:00,9.22,9.49,9.17,9.17,164650,9.22,9.49,9.17,9.17,164650,0.0,1.0
2023-07-14 00:00:00+00:00,9.31,9.6,9.18,9.29,148710,9.31,9.6,9.18,9.29,148710,0.0,1.0
2023-07-17 00:00:00+00:00,9.32,9.4599,9.25,9.31,118382,9.32,9.4599,9.25,9.31,118382,0.0,1.0
2023-07-18 00:00:00+00:00,9.36,9.44,9.21,9.33,142023,9.36,9.44,9.21,9.33,142023,0.0,1.0
2023-07-19 00:00:00+00:00,9.34,9.51,9.25,9.36,114406,9.34,9.51,9.25,9.36,114406,0.0,1.0
2023-07-20 00:00:00+00:00,9.25,9.41,9.2,9.37,105406,9.25,9.41,9.2,9.37,105406,0.0,1.0
2023-07-21 00:00:00+00:00,9.17,9.54,9.15,9.34,129162,9.17,9.54,9.15,9.34,129162,0.0,1.0
2023-07-24 00:00:00+00:00,9.25,9.51,9.18,9.18,153997,9.25,9.51,9.18,9.18,153997,0.0,1.0
2023-07-25 00:00:00+00:00,9.44,9.5,9.19,9.19,153077,9.44,9.5,9.19,9.19,153077,0.0,1.0
2023-07-26 00:00:00+00:00,9.57,9.76,9.44,9.44,183375,9.57,9.76,9.44,9.44,183375,0.0,1.0
2023-07-27 00:00:00+00:00,9.75,10.2,9.51,9.75,285148,9.75,10.2,9.51,9.75,285148,0.0,1.0
2023-07-28 00:00:00+00:00,9.89,10.45,9.88,10.12,328141,9.89,10.45,9.88,10.12,328141,0.0,1.0
2023-07-31 00:00:00+00:00,9.76,10.16,9.73,9.85,213256,9.76,10.16,9.73,9.85,213256,0.0,1.0
2023-08-01 00:00:00+00:00,8.62,9.72,8.5,9.72,849893,8.62,9.72,8.5,9.72,849893,0.0,1.0
2023-08-02 00:00:00+00:00,8.29,8.795,8.2,8.65,524424,8.29,8.795,8.2,8.65,524424,0.0,1.0
2023-08-03 00:00:00+00:00,8.5,8.6,8.31,8.31,205596,8.5,8.6,8.31,8.31,205596,0.0,1.0
2023-08-04 00:00:00+00:00,8.33,8.73,8.24,8.52,497779,8.33,8.73,8.24,8.52,497779,0.0,1.0
2023-08-07 00:00:00+00:00,8.03,8.55,8.01,8.36,228361,8.03,8.55,8.01,8.36,228361,0.0,1.0
